feature1,feature2,feature3,target
0.4967141530112327,0.010110769620672089,1.136506395035066,-0.4049140572559753
0.49840186665033664,0.27662197129747673,1.9300917125285273,0.2739566977561514
1.9111379739249668,0.9415866212474959,1.8551077873296482,0.8041393069796262
3.393652619831415,2.22157606906247,2.1056643345933006,2.2230321007598453
2.2146149957852406,0.6034231635727755,-0.008597150563109945,0.9235745693548391
2.754789304513184,2.034999366845698,1.6175672738473308,2.8882809077282086
5.061948345150835,3.543966579286696,-2.05635764285288,2.4941509991328954
4.690000943031856,2.8744563445882036,-0.38582762582850344,1.5171026259458138
3.8321652415751237,3.012138503318789,-0.6573307689868513,3.334836157741041
5.156695305916062,4.078471782954523,0.06029283732134372,2.8355443488388117
4.391864888663306,2.2705254898798266,-0.9273691473231302,2.272611248408776
4.555706500073187,2.8076321607681236,-2.6888242665740023,2.4899769952071864
5.352095913707393,3.3618959647015254,-2.54302711456691,2.8414335092089895
3.20685339748356,1.7748458276840595,-1.563410905737795,2.3884283102655766
3.32651842113041,2.7433003157571614,-1.9653625433321675,2.182624357848336
4.342995052234797,2.943183467177956,-2.5041241096357463,1.45223354323958
3.671304141995674,2.437655478741666,-2.3571289909795907,3.4752685658062843
4.705886960105349,2.292189689870367,-1.0459229181259126,2.5786072166358767
3.124542138357736,2.5048885119550284,-2.04572656161911,1.4972240128253715
2.2004318283081528,0.9206730823889706,-1.3313524567467903,1.64071053441716
4.60457503038392,3.253168836401908,1.269936588080542,3.4974840086584287
2.3929920700220397,1.8137829179945237,-1.9367166256338182,1.4272242472499064
2.1281509681113144,2.1700349755972455,-1.9508996581099671,3.1167949130566193
0.04870124961081945,-0.6203193248319824,1.1076465913339126,-0.1408167586174252
0.32228344329633996,-1.2841576676029747,0.05939092745579133,-0.559902789692474
0.3609225897098667,0.3445705851737541,0.8067624722573797,0.5599221683690766
-1.5176597452438243,-0.16210623091525012,0.6871048345866027,0.3651878781936143
-0.5977514174786012,0.20104718423469786,1.4932338479823821,-1.00065281466602
-2.1612614533421945,-1.4080533097022232,3.5656290273815427,-2.038360696068475
-2.4104621203018537,-1.933141577027321,2.9034236600857306,-1.3846207015549894
-3.24063287369176,-1.8648817132655766,3.012223511886977,-2.5030442383953417
-1.260457345134504,-1.369093241446387,0.6950681456749661,-1.1494636141618064
-3.5460634386168817,-2.2440655223537074,0.8359371787323326,-1.592864256684035
-4.949350556465976,-3.2118103099428694,-1.0560446707355315,-4.080484089592089
